0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
C0478145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0242402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2607914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0554472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0348147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3539171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0039730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0015392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0040426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0025345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0041827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0023689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0161942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0030498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0177663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0337308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0348742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0020517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0391870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0019054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0032246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1956346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
